country_name,translation,language
Afghanistan,ავღანეთი,ქართული
Africa,აფრიკა,ქართული
Albania,ალბანეთი,ქართული
Algeria,ალჟირი,ქართული
Andorra,ანდორა,ქართული
Angola,ანგოლა,ქართული
Anguilla,ანგილია,ქართული
Antigua and Barbuda,ანტიგუა და ბარბუდა,ქართული
Argentina,არგენტინა,ქართული
Armenia,სომხეთი,ქართული
Asia,აზია,ქართული
Australia,ავსტრალია,ქართული
Austria,ავსტრია,ქართული
Azerbaijan,აზერბაიჯანი,ქართული
Bahamas,ბაჰამის კუნძულები,ქართული
Bahrain,ბაჰრეინი,ქართული
Bangladesh,ბანგლადეში,ქართული
Barbados,ბარბადოსი,ქართული
Belarus,ბელორუსია,ქართული
Belgium,ბელგია,ქართული
Belize,ბელიზი,ქართული
Benin,ბენინი,ქართული
Bermuda,ბერმუდის კუნძულები,ქართული
Bhutan,ბუტანი,ქართული
Bolivia,ბოლივია,ქართული
Bosnia and Herzegovina,ბოსნია და ჰერცოგოვინა,ქართული
Botswana,ბოტსვანა,ქართული
Brazil,ბრაზილია,ქართული
Brunei,ბრუნეი,ქართული
Bulgaria,ბულგარეთი,ქართული
Burkina Faso,ბურკინა ფასო,ქართული
Burundi,ბურუნდი,ქართული
Cambodia,კამბოჯა,ქართული
Cameroon,კამერუნი,ქართული
Canada,კანადა,ქართული
Cape Verde,კაბო-ვერდე,ქართული
Cayman Islands,კაიმანის კუნძულები,ქართული
Central African Republic,ცენტრალური აფრიკის რესპუბლიკა,ქართული
Chad,ჩადი,ქართული
Chile,ჩილე,ქართული
China,ჩინეთი,ქართული
Colombia,კოლუმბია,ქართული
Comoros,კომორის კუნძულები,ქართული
Congo,კონგო,ქართული
Costa Rica,კოსტა - რიკა,ქართული
Cote d'Ivoire,კოტ დ 'ივუარი,ქართული
Croatia,ხორვატია,ქართული
Cuba,კუბა,ქართული
Cyprus,კვიპროსი,ქართული
Czechia,ჩეხეთი,ქართული
Democratic Republic of Congo,კონგოს დემოკრატიული რესპუბლიკა,ქართული
Denmark,დანია,ქართული
Djibouti,ჯიბუტი,ქართული
Dominica,დომინიკა,ქართული
Dominican Republic,დომინიკის რესპუბლიკა,ქართული
Ecuador,ეკვადორი,ქართული
Egypt,ეგვიპტე,ქართული
El Salvador,სალვადორი,ქართული
Equatorial Guinea,ეკვატორული გვინეა,ქართული
Eritrea,ერიტრეა,ქართული
Estonia,ესტონეთი,ქართული
Eswatini,ესვატინი,ქართული
Ethiopia,ეთიოპია,ქართული
Europe,ევროპა,ქართული
European Union,ევროპის კავშირი,ქართული
Faeroe Islands,ფაეროსის კუნძულები,ქართული
Falkland Islands,ფოლკლენდის კუნძულები,ქართული
Fiji,ფიჯი,ქართული
Finland,ფინეთი,ქართული
France,საფრანგეთი,ქართული
Gabon,გაბონი,ქართული
Gambia,გამბია,ქართული
Georgia,საქართველო,ქართული
Germany,გერმანია,ქართული
Ghana,განა,ქართული
Gibraltar,გიბრალტარი,ქართული
Greece,საბერძნეთი,ქართული
Greenland,გრენლანდია,ქართული
Grenada,გრენადა,ქართული
Guatemala,გვატემალა,ქართული
Guernsey,გერნსი,ქართული
Guinea,გვინეა,ქართული
Guinea-Bissau,გვინეა-ბისაუ,ქართული
Guyana,გაიანა,ქართული
Haiti,ჰაიტი,ქართული
Honduras,ჰონდურასი,ქართული
Hong Kong,ჰონგ კონგი,ქართული
Hungary,უნგრეთი,ქართული
Iceland,ისლანდია,ქართული
India,ინდოეთი,ქართული
Indonesia,ინდონეზია,ქართული
International,საერთაშორისო,ქართული
Iran,ირანი,ქართული
Iraq,ერაყი,ქართული
Ireland,ირლანდია,ქართული
Isle of Man,კუნძული მანი,ქართული
Israel,ისრაელი,ქართული
Italy,იტალია,ქართული
Jamaica,იამაიკა,ქართული
Japan,იაპონია,ქართული
Jersey,ჯერსი,ქართული
Jordan,ჟორდანია,ქართული
Kazakhstan,ყაზახეთი,ქართული
Kenya,კენია,ქართული
Kosovo,კოსოვო,ქართული
Kuwait,ქუვეითი,ქართული
Kyrgyzstan,ყირგიზეთი,ქართული
Laos,ლაოსი,ქართული
Latvia,ლატვია,ქართული
Lebanon,ლიბანი,ქართული
Lesotho,ლესოტო,ქართული
Liberia,ლიბერია,ქართული
Libya,ლიბია,ქართული
Liechtenstein,ლიხტენშტეინი,ქართული
Lithuania,ლიტვა,ქართული
Luxembourg,ლუქსემბურგი,ქართული
Macao,მაკაო,ქართული
Madagascar,მადაგასკარი,ქართული
Malawi,მალავი,ქართული
Malaysia,მალაიზია,ქართული
Maldives,მალდივის კუნძულები,ქართული
Mali,მალი,ქართული
Malta,მალტა,ქართული
Marshall Islands,მარშალის კუნძულები,ქართული
Mauritania,მავრიტანია,ქართული
Mauritius,მავრიკი,ქართული
Mexico,მექსიკა,ქართული
Micronesia (country),მიკრონეზია (ქვეყანა),ქართული
Moldova,მოლდოვა,ქართული
Monaco,მონაკო,ქართული
Mongolia,მონღოლეთი,ქართული
Montenegro,მონტენეგრო,ქართული
Montserrat,მონსერატი,ქართული
Morocco,მაროკო,ქართული
Mozambique,მოზამბიკი,ქართული
Myanmar,მიანმარის,ქართული
Namibia,ნამიბია,ქართული
Nepal,ნეპალი,ქართული
Netherlands,ნიდერლანდები,ქართული
New Zealand,Ახალი ზელანდია,ქართული
Nicaragua,ნიკარაგუა,ქართული
Niger,ნიგერი,ქართული
Nigeria,ნიგერია,ქართული
North America,ჩრდილოეთ ამერიკა,ქართული
North Macedonia,ჩრდილოეთ მაკედონია,ქართული
Northern Cyprus,ჩრდილოეთ კვიპროსი,ქართული
Norway,ნორვეგია,ქართული
Oceania,ოკეანეთი,ქართული
Oman,ომანი,ქართული
Pakistan,პაკისტანი,ქართული
Palestine,პალესტინა,ქართული
Panama,პანამა,ქართული
Papua New Guinea,პაპუა ახალი გვინეა,ქართული
Paraguay,პარაგვაი,ქართული
Peru,პერუ,ქართული
Philippines,ფილიპინები,ქართული
Poland,პოლონეთი,ქართული
Portugal,პორტუგალია,ქართული
Qatar,კატარი,ქართული
Romania,რუმინეთი,ქართული
Russia,რუსეთი,ქართული
Rwanda,რუანდა,ქართული
Saint Helena,წმინდა ელენა,ქართული
Saint Kitts and Nevis,სენტ-კიტსი და ნევისი,ქართული
Saint Lucia,წმინდა ლუსია,ქართული
Saint Vincent and the Grenadines,სენტ ვინსენტი და გრენადინები,ქართული
Samoa,სამოა,ქართული
San Marino,სან მარინო,ქართული
Sao Tome and Principe,სან ტომე და პრინსიპი,ქართული
Saudi Arabia,საუდის არაბეთი,ქართული
Senegal,სენეგალი,ქართული
Serbia,სერბეთი,ქართული
Seychelles,სეიშელის კუნძულები,ქართული
Sierra Leone,სიერა ლეონე,ქართული
Singapore,სინგაპური,ქართული
Slovakia,სლოვაკეთი,ქართული
Slovenia,სლოვენია,ქართული
Solomon Islands,სოლომონის კუნძულები,ქართული
Somalia,სომალი,ქართული
South Africa,სამხრეთ აფრიკა,ქართული
South America,სამხრეთ ამერიკა,ქართული
South Korea,სამხრეთ კორეა,ქართული
South Sudan,სამხრეთ სუდანი,ქართული
Spain,ესპანეთი,ქართული
Sri Lanka,შრი ლანკა,ქართული
Sudan,სუდანი,ქართული
Suriname,სურინამი,ქართული
Sweden,შვედეთი,ქართული
Switzerland,შვეიცარია,ქართული
Syria,სირია,ქართული
Taiwan,ტაივანი,ქართული
Tajikistan,ტაჯიკეთი,ქართული
Tanzania,ტანზანია,ქართული
Thailand,ტაილანდი,ქართული
Timor,ტიმორი,ქართული
Togo,Წასვლა,ქართული
Trinidad and Tobago,ტრინიდადი და ტობაგო,ქართული
Tunisia,ტუნისი,ქართული
Turkey,თურქეთი,ქართული
Turks and Caicos Islands,ტერქსისა და კაიკოსის კუნძულები,ქართული
Uganda,უგანდა,ქართული
Ukraine,უკრაინა,ქართული
United Arab Emirates,არაბთა გაერთიანებული საამიროები,ქართული
United Kingdom,გაერთიანებული სამეფო,ქართული
United States,შეერთებული შტატები,ქართული
Uruguay,ურუგვაი,ქართული
Uzbekistan,უზბეკეთი,ქართული
Vanuatu,ვანუატუ,ქართული
Vatican,ვატიკანი,ქართული
Venezuela,ვენესუელა,ქართული
Vietnam,ვიეტნამი,ქართული
World,მსოფლიო,ქართული
Yemen,იემენი,ქართული
Zambia,ზამბია,ქართული
Zimbabwe,ზიმბაბვე,ქართული
Afghanistan,Afghanistan,English
Africa,Africa,English
Albania,Albania,English
Algeria,Algeria,English
Andorra,Andorra,English
Angola,Angola,English
Anguilla,Anguilla,English
Antigua and Barbuda,Antigua and Barbuda,English
Argentina,Argentina,English
Armenia,Armenia,English
Asia,Asia,English
Australia,Australia,English
Austria,Austria,English
Azerbaijan,Azerbaijan,English
Bahamas,Bahamas,English
Bahrain,Bahrain,English
Bangladesh,Bangladesh,English
Barbados,Barbados,English
Belarus,Belarus,English
Belgium,Belgium,English
Belize,Belize,English
Benin,Benin,English
Bermuda,Bermuda,English
Bhutan,Bhutan,English
Bolivia,Bolivia,English
Bosnia and Herzegovina,Bosnia and Herzegovina,English
Botswana,Botswana,English
Brazil,Brazil,English
Brunei,Brunei,English
Bulgaria,Bulgaria,English
Burkina Faso,Burkina Faso,English
Burundi,Burundi,English
Cambodia,Cambodia,English
Cameroon,Cameroon,English
Canada,Canada,English
Cape Verde,Cape Verde,English
Cayman Islands,Cayman Islands,English
Central African Republic,Central African Republic,English
Chad,Chad,English
Chile,Chile,English
China,China,English
Colombia,Colombia,English
Comoros,Comoros,English
Congo,Congo,English
Costa Rica,Costa Rica,English
Cote d'Ivoire,Cote d'Ivoire,English
Croatia,Croatia,English
Cuba,Cuba,English
Cyprus,Cyprus,English
Czechia,Czechia,English
Democratic Republic of Congo,Democratic Republic of Congo,English
Denmark,Denmark,English
Djibouti,Djibouti,English
Dominica,Dominica,English
Dominican Republic,Dominican Republic,English
Ecuador,Ecuador,English
Egypt,Egypt,English
El Salvador,El Salvador,English
Equatorial Guinea,Equatorial Guinea,English
Eritrea,Eritrea,English
Estonia,Estonia,English
Eswatini,Eswatini,English
Ethiopia,Ethiopia,English
Europe,Europe,English
European Union,European Union,English
Faeroe Islands,Faeroe Islands,English
Falkland Islands,Falkland Islands,English
Fiji,Fiji,English
Finland,Finland,English
France,France,English
Gabon,Gabon,English
Gambia,Gambia,English
Georgia,Georgia,English
Germany,Germany,English
Ghana,Ghana,English
Gibraltar,Gibraltar,English
Greece,Greece,English
Greenland,Greenland,English
Grenada,Grenada,English
Guatemala,Guatemala,English
Guernsey,Guernsey,English
Guinea,Guinea,English
Guinea-Bissau,Guinea-Bissau,English
Guyana,Guyana,English
Haiti,Haiti,English
Honduras,Honduras,English
Hong Kong,Hong Kong,English
Hungary,Hungary,English
Iceland,Iceland,English
India,India,English
Indonesia,Indonesia,English
International,International,English
Iran,Iran,English
Iraq,Iraq,English
Ireland,Ireland,English
Isle of Man,Isle of Man,English
Israel,Israel,English
Italy,Italy,English
Jamaica,Jamaica,English
Japan,Japan,English
Jersey,Jersey,English
Jordan,Jordan,English
Kazakhstan,Kazakhstan,English
Kenya,Kenya,English
Kosovo,Kosovo,English
Kuwait,Kuwait,English
Kyrgyzstan,Kyrgyzstan,English
Laos,Laos,English
Latvia,Latvia,English
Lebanon,Lebanon,English
Lesotho,Lesotho,English
Liberia,Liberia,English
Libya,Libya,English
Liechtenstein,Liechtenstein,English
Lithuania,Lithuania,English
Luxembourg,Luxembourg,English
Macao,Macao,English
Madagascar,Madagascar,English
Malawi,Malawi,English
Malaysia,Malaysia,English
Maldives,Maldives,English
Mali,Mali,English
Malta,Malta,English
Marshall Islands,Marshall Islands,English
Mauritania,Mauritania,English
Mauritius,Mauritius,English
Mexico,Mexico,English
Micronesia (country),Micronesia (country),English
Moldova,Moldova,English
Monaco,Monaco,English
Mongolia,Mongolia,English
Montenegro,Montenegro,English
Montserrat,Montserrat,English
Morocco,Morocco,English
Mozambique,Mozambique,English
Myanmar,Myanmar,English
Namibia,Namibia,English
Nepal,Nepal,English
Netherlands,Netherlands,English
New Zealand,New Zealand,English
Nicaragua,Nicaragua,English
Niger,Niger,English
Nigeria,Nigeria,English
North America,North America,English
North Macedonia,North Macedonia,English
Northern Cyprus,Northern Cyprus,English
Norway,Norway,English
Oceania,Oceania,English
Oman,Oman,English
Pakistan,Pakistan,English
Palestine,Palestine,English
Panama,Panama,English
Papua New Guinea,Papua New Guinea,English
Paraguay,Paraguay,English
Peru,Peru,English
Philippines,Philippines,English
Poland,Poland,English
Portugal,Portugal,English
Qatar,Qatar,English
Romania,Romania,English
Russia,Russia,English
Rwanda,Rwanda,English
Saint Helena,Saint Helena,English
Saint Kitts and Nevis,Saint Kitts and Nevis,English
Saint Lucia,Saint Lucia,English
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,English
Samoa,Samoa,English
San Marino,San Marino,English
Sao Tome and Principe,Sao Tome and Principe,English
Saudi Arabia,Saudi Arabia,English
Senegal,Senegal,English
Serbia,Serbia,English
Seychelles,Seychelles,English
Sierra Leone,Sierra Leone,English
Singapore,Singapore,English
Slovakia,Slovakia,English
Slovenia,Slovenia,English
Solomon Islands,Solomon Islands,English
Somalia,Somalia,English
South Africa,South Africa,English
South America,South America,English
South Korea,South Korea,English
South Sudan,South Sudan,English
Spain,Spain,English
Sri Lanka,Sri Lanka,English
Sudan,Sudan,English
Suriname,Suriname,English
Sweden,Sweden,English
Switzerland,Switzerland,English
Syria,Syria,English
Taiwan,Taiwan,English
Tajikistan,Tajikistan,English
Tanzania,Tanzania,English
Thailand,Thailand,English
Timor,Timor,English
Togo,Togo,English
Trinidad and Tobago,Trinidad and Tobago,English
Tunisia,Tunisia,English
Turkey,Turkey,English
Turks and Caicos Islands,Turks and Caicos Islands,English
Uganda,Uganda,English
Ukraine,Ukraine,English
United Arab Emirates,United Arab Emirates,English
United Kingdom,United Kingdom,English
United States,United States,English
Uruguay,Uruguay,English
Uzbekistan,Uzbekistan,English
Vanuatu,Vanuatu,English
Vatican,Vatican,English
Venezuela,Venezuela,English
Vietnam,Vietnam,English
World,World,English
Yemen,Yemen,English
Zambia,Zambia,English
Zimbabwe,Zimbabwe,English
Afghanistan,Афганистан,Русский
Africa,Африке,Русский
Albania,Албания,Русский
Algeria,Алжир,Русский
Andorra,Андорра,Русский
Angola,Ангола,Русский
Anguilla,Ангилья,Русский
Antigua and Barbuda,Антигуа и Барбуда,Русский
Argentina,Аргентина,Русский
Armenia,Армения,Русский
Asia,Азия,Русский
Australia,Австралия,Русский
Austria,Австрия,Русский
Azerbaijan,Азербайджан,Русский
Bahamas,Багамы,Русский
Bahrain,Бахрейн,Русский
Bangladesh,Бангладеш,Русский
Barbados,Барбадос,Русский
Belarus,Беларусь,Русский
Belgium,Бельгия,Русский
Belize,Белиз,Русский
Benin,Бенин,Русский
Bermuda,Бермудские острова,Русский
Bhutan,Бутан,Русский
Bolivia,Боливия,Русский
Bosnia and Herzegovina,Босния и Герцеговина,Русский
Botswana,Ботсвана,Русский
Brazil,Бразилия,Русский
Brunei,Бруней,Русский
Bulgaria,Болгария,Русский
Burkina Faso,Буркина-Фасо,Русский
Burundi,Бурунди,Русский
Cambodia,Камбоджа,Русский
Cameroon,Камерун,Русский
Canada,Канада,Русский
Cape Verde,Кабо-Верде,Русский
Cayman Islands,Каймановы острова,Русский
Central African Republic,Центрально-Африканская Республика,Русский
Chad,Чад,Русский
Chile,Чили,Русский
China,Китай,Русский
Colombia,Колумбия,Русский
Comoros,Коморские острова,Русский
Congo,Конго,Русский
Costa Rica,Коста-Рика,Русский
Cote d'Ivoire,Берег Слоновой Кости,Русский
Croatia,Хорватия,Русский
Cuba,Куба,Русский
Cyprus,Кипр,Русский
Czechia,Чехия,Русский
Democratic Republic of Congo,Демократическая Республика Конго,Русский
Denmark,Дания,Русский
Djibouti,Джибути,Русский
Dominica,Доминика,Русский
Dominican Republic,Доминиканская Республика,Русский
Ecuador,Эквадор,Русский
Egypt,Египет,Русский
El Salvador,Эль Сальвадор,Русский
Equatorial Guinea,Экваториальная Гвинея,Русский
Eritrea,Эритрея,Русский
Estonia,Эстония,Русский
Eswatini,Эсватини,Русский
Ethiopia,Эфиопия,Русский
Europe,Европа,Русский
European Union,Евросоюз,Русский
Faeroe Islands,Фарерские острова,Русский
Falkland Islands,Фолклендские острова,Русский
Fiji,Фиджи,Русский
Finland,Финляндия,Русский
France,Франция,Русский
Gabon,Габон,Русский
Gambia,Гамбия,Русский
Georgia,Грузия,Русский
Germany,Германия,Русский
Ghana,Гана,Русский
Gibraltar,Гибралтар,Русский
Greece,Греция,Русский
Greenland,Гренландия,Русский
Grenada,Гренада,Русский
Guatemala,Гватемала,Русский
Guernsey,Гернси,Русский
Guinea,Гвинея,Русский
Guinea-Bissau,Гвинея-Бисау,Русский
Guyana,Гайана,Русский
Haiti,Гаити,Русский
Honduras,Гондурас,Русский
Hong Kong,Гонконг,Русский
Hungary,Венгрия,Русский
Iceland,Исландия,Русский
India,Индия,Русский
Indonesia,Индонезия,Русский
International,Международный,Русский
Iran,Иран,Русский
Iraq,Ирак,Русский
Ireland,Ирландия,Русский
Isle of Man,Остров Мэн,Русский
Israel,Израиль,Русский
Italy,Италия,Русский
Jamaica,Ямайка,Русский
Japan,Япония,Русский
Jersey,Джерси,Русский
Jordan,Иордания,Русский
Kazakhstan,Казахстан,Русский
Kenya,Кения,Русский
Kosovo,Косово,Русский
Kuwait,Кувейт,Русский
Kyrgyzstan,Кыргызстан,Русский
Laos,Лаос,Русский
Latvia,Латвия,Русский
Lebanon,Ливан,Русский
Lesotho,Лесото,Русский
Liberia,Либерия,Русский
Libya,Ливия,Русский
Liechtenstein,Лихтенштейн,Русский
Lithuania,Литва,Русский
Luxembourg,Люксембург,Русский
Macao,Макао,Русский
Madagascar,Мадагаскар,Русский
Malawi,Малави,Русский
Malaysia,Малайзия,Русский
Maldives,Мальдивы,Русский
Mali,Мали,Русский
Malta,Мальта,Русский
Marshall Islands,Маршалловы острова,Русский
Mauritania,Мавритания,Русский
Mauritius,Маврикий,Русский
Mexico,Мексика,Русский
Micronesia (country),Микронезия (страна),Русский
Moldova,Молдова,Русский
Monaco,Монако,Русский
Mongolia,Монголия,Русский
Montenegro,Черногория,Русский
Montserrat,Монтсеррат,Русский
Morocco,Марокко,Русский
Mozambique,Мозамбик,Русский
Myanmar,Мьянма,Русский
Namibia,Намибия,Русский
Nepal,Непал,Русский
Netherlands,Нидерланды,Русский
New Zealand,Новая Зеландия,Русский
Nicaragua,Никарагуа,Русский
Niger,Нигер,Русский
Nigeria,Нигерия,Русский
North America,Северная Америка,Русский
North Macedonia,Северная Македония,Русский
Northern Cyprus,Северный Кипр,Русский
Norway,Норвегия,Русский
Oceania,Океания,Русский
Oman,Оман,Русский
Pakistan,Пакистан,Русский
Palestine,Палестина,Русский
Panama,Панама,Русский
Papua New Guinea,Папуа - Новая Гвинея,Русский
Paraguay,Парагвай,Русский
Peru,Перу,Русский
Philippines,Филиппины,Русский
Poland,Польша,Русский
Portugal,Португалия,Русский
Qatar,Катар,Русский
Romania,Румыния,Русский
Russia,Россия,Русский
Rwanda,Руанда,Русский
Saint Helena,Святой Елены,Русский
Saint Kitts and Nevis,Сент-Китс и Невис,Русский
Saint Lucia,Сент-Люсия,Русский
Saint Vincent and the Grenadines,Святой Винсент и Гренадины,Русский
Samoa,Самоа,Русский
San Marino,Сан-Марино,Русский
Sao Tome and Principe,Сан-Томе и Принсипи,Русский
Saudi Arabia,Саудовская Аравия,Русский
Senegal,Сенегал,Русский
Serbia,Сербия,Русский
Seychelles,Сейшельские острова,Русский
Sierra Leone,Сьерра-Леоне,Русский
Singapore,Сингапур,Русский
Slovakia,Словакия,Русский
Slovenia,Словения,Русский
Solomon Islands,Соломоновы острова,Русский
Somalia,Сомали,Русский
South Africa,Южная Африка,Русский
South America,Южная Америка,Русский
South Korea,Южная Корея,Русский
South Sudan,южный Судан,Русский
Spain,Испания,Русский
Sri Lanka,Шри-Ланка,Русский
Sudan,Судан,Русский
Suriname,Суринам,Русский
Sweden,Швеция,Русский
Switzerland,Швейцария,Русский
Syria,Сирия,Русский
Taiwan,Тайвань,Русский
Tajikistan,Таджикистан,Русский
Tanzania,Танзания,Русский
Thailand,Таиланд,Русский
Timor,Тимор,Русский
Togo,Идти,Русский
Trinidad and Tobago,Тринидад и Тобаго,Русский
Tunisia,Тунис,Русский
Turkey,индюк,Русский
Turks and Caicos Islands,Острова Теркс и Кайкос,Русский
Uganda,Уганда,Русский
Ukraine,Украина,Русский
United Arab Emirates,Объединенные Арабские Эмираты,Русский
United Kingdom,объединенное Королевство,Русский
United States,Соединенные Штаты,Русский
Uruguay,Уругвай,Русский
Uzbekistan,Узбекистан,Русский
Vanuatu,Вануату,Русский
Vatican,Ватикан,Русский
Venezuela,Венесуэла,Русский
Vietnam,Вьетнам,Русский
World,Мир,Русский
Yemen,Йемен,Русский
Zambia,Замбия,Русский
Zimbabwe,Зимбабве,Русский